network,tower_id,tower_name,tower_lat,tower_lon,nearest_bulk_site,nearest_bulk_km,nearest_bulk_obs,nearest_bulk_entries,nearest_bulk_entry_names,nearest_fraction_site,nearest_fraction_km,nearest_fraction_obs,nearest_fraction_entries,nearest_fraction_entry_names,nearest_respired_site,nearest_respired_km,nearest_respired_obs,nearest_respired_entries,nearest_respired_entry_names,exact_data_type_count_le_1km,near_data_type_count_le_25km
AmeriFlux,CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),55.8796,-98.4808,TH_Old_Black_Spruce,0.3276572160049276,26,1,Trumbore_Harden_1997,TH_Old_Black_Spruce,0.3276572160049276,16,1,Trumbore_Harden_1997,CZ_Old_Black_Spruce,0.35131611019367476,1,1,Czimczik_2007,3,3
AmeriFlux,CA-NS1,UCI-1850 burn site,55.8792,-98.4839,TH_Old_Black_Spruce,0.21430331113419196,26,1,Trumbore_Harden_1997,TH_Old_Black_Spruce,0.21430331113419196,16,1,Trumbore_Harden_1997,CZ_Old_Black_Spruce,0.24470834801894462,1,1,Czimczik_2007,3,3
AmeriFlux,US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",63.8784,-149.2536,EML,0.0044009786779296385,9,1,Hicks_Pries_2012,EML,0.0044009786779296385,29,1,Hicks_Pries_2012,CiPEHR,0.0044009786779296385,89,1,Pegoraro_2021,3,3
AmeriFlux,US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,MA Harvard Forest,0.011119492664034914,36,1,McFarlane_2013,MA Harvard Forest,0.011119492664034914,30,1,McFarlane_2013,Harvard Forest,0.7381252235854269,156,1,Gaudinski_2001,3,3
AmeriFlux,US-Ha2,Harvard Forest Hemlock Site,42.5393,-72.1779,Harvard Forest,0.18883956553033654,8,1,Gaudinski_2001,Harvard Forest,0.18883956553033654,88,2,Gaudinski_2000|Savage_unpub,Harvard Forest,0.18883956553033654,156,1,Gaudinski_2001,3,3
AmeriFlux,US-LPH,Little Prospect Hill,42.5419,-72.185,Harvard Forest,0.4609112984575359,8,1,Gaudinski_2001,Harvard Forest,0.4609112984575359,88,2,Gaudinski_2000|Savage_unpub,Harvard Forest,0.4609112984575359,156,1,Gaudinski_2001,3,3
AmeriFlux,US-xHA,NEON Harvard Forest (HARV),42.5369,-72.1727,HARV,0.0032773240688607763,3,1,Nave_2021,MA Harvard Forest,0.13258885094608036,30,1,McFarlane_2013,Harvard Forest,0.6903193556346926,156,1,Gaudinski_2001,3,3
AmeriFlux,US-xSP,NEON Soaproot Saddle (SOAP),37.0334,-119.2622,SOAP,0.0034519279814641747,9,2,Beem-Miller_2022|Nave_2021,Trumbore Musick,0.9411137810067647,51,3,Koarashi_2012|Trumbore_1996|Trumbore_unpublished,Musick,0.9411137810067647,16,1,Wang_2000,3,3
NEON,HARV,Harvard Forest & Quabbin Watershed NEON,42.53691,-72.17265,HARV,0.0,5,1,Beem-Miller_2022,MA Harvard Forest,0.12881940120547147,30,1,McFarlane_2013,Harvard Forest,0.6933198803324289,156,1,Gaudinski_2001,3,3
NEON,SOAP,Soaproot Saddle NEON,37.03337,-119.26219,SOAP,0.0,9,2,Beem-Miller_2022|Nave_2021,Trumbore Musick,0.9400053648049138,51,3,Koarashi_2012|Trumbore_1996|Trumbore_unpublished,Musick,0.9400053648049138,16,1,Wang_2000,3,3
AmeriFlux,CA-NS3,UCI-1964 burn site,55.9117,-98.3822,CZ_1964burn_NSA,0.25541695023019567,11,1,Czimczik_2007,NSA_FenTower,2.425147343372656,77,1,Trumbore_1999,CZ_1964burn_NSA,0.25541695023019567,2,1,Czimczik_2007,2,3
AmeriFlux,CA-NS4,UCI-1964 burn site wet,55.9144,-98.3806,CZ_1964burn_NSA,0.1388326825891026,11,1,Czimczik_2007,NSA_FenTower,2.5005434656502956,77,1,Trumbore_1999,CZ_1964burn_NSA,0.1388326825891026,2,1,Czimczik_2007,2,3
